sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm25,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,58,細懸浮微粒,普通,1.7,0.42,26.7,24,29,19,14.4,15.9,1.5,0.7,295,2022/3/18 12:00,0.4,18,28,2,121.760056,25.129167,1
汐止,新北市,53,細懸浮微粒,普通,0.5,0.32,31.2,20,28,10,9.6,11.9,2.2,2.5,31,2022/3/18 12:00,0.3,16,25,2,121.6423,25.067131,2
萬里,新北市,32,,良好,0.3,0.28,38.7,35,15,10,5.3,6.3,1,2.8,0,2022/3/18 12:00,0.2,9,20,0,121.689881,25.179667,3
新店,新北市,56,細懸浮微粒,普通,0.8,0.43,25.6,20,,13,14.4,17.4,2.9,2.1,113,2022/3/18 12:00,0.3,17,29,1,121.537778,24.977222,4
土城,新北市,56,細懸浮微粒,普通,0.8,0.49,23.3,18,30,14,14.3,18,3.7,1.8,134,2022/3/18 12:00,0.4,17,30,1,121.451861,24.982528,5
板橋,新北市,60,細懸浮微粒,普通,1.6,0.56,22,22,32,19,20.5,24.8,4.3,1.5,109,2022/3/18 12:00,0.4,19,26,2,121.458667,25.012972,6
新莊,新北市,55,細懸浮微粒,普通,1,0.37,33.9,26,23,16,10.4,13.5,3,2.5,10,2022/3/18 12:00,0.3,17,24,1,121.4325,25.037972,7
菜寮,新北市,63,細懸浮微粒,普通,,,,18,21,,,,,1.4,93,2022/3/18 12:00,0.3,20,23,0,121.481028,25.06895,8
林口,新北市,48,,良好,1,0.32,30.1,25,28,10,11.7,16.8,5,2.7,22,2022/3/18 12:00,0.2,14,25,1,121.376869,25.077197,9
淡水,新北市,56,細懸浮微粒,普通,0.3,0.34,34.3,25,20,14,4.6,5.4,0.8,,,2022/3/18 12:00,0.3,17,21,0,121.449239,25.1645,10
士林,臺北市,58,細懸浮微粒,普通,1.3,0.41,18.9,21,32,19,25.1,37.4,12.2,0.7,245,2022/3/18 12:00,0.3,18,29,2,121.515389,25.105417,11
中山,臺北市,56,細懸浮微粒,普通,1.5,0.56,22.3,13,27,13,17.8,24.5,6.7,2.2,122,2022/3/18 12:00,0.7,17,26,1,121.526528,25.062361,12
萬華,臺北市,55,細懸浮微粒,普通,1.1,0.49,20,18,25,11,21.1,26.7,5.6,2.3,72,2022/3/18 12:00,0.4,17,22,1,121.507972,25.046503,13
古亭,臺北市,61,細懸浮微粒,普通,,,,19,,,,,,,,2022/3/18 12:00,0.3,19,24,1,121.529556,25.020608,14
松山,臺北市,57,細懸浮微粒,普通,0.2,0.37,,16,39,15,18.1,24.1,6,2.3,45,2022/3/18 12:00,0.3,17,31,2,121.578611,25.05,15
大同,臺北市,60,細懸浮微粒,普通,1.8,0.9,11.7,12,30,15,28.6,60.6,31.9,,,2022/3/18 12:00,0.8,19,29,1,121.513311,25.0632,16
桃園,桃園市,60,細懸浮微粒,普通,1.3,0.46,32.9,21,28,17,11.8,14.3,2.5,2.6,13,2022/3/18 12:00,0.4,19,28,1,121.3087222,24.98677778,17
大園,桃園市,55,細懸浮微粒,普通,1.2,0.33,33.7,23,17,11,10.7,15.1,4.3,6.2,91,2022/3/18 12:00,0.3,17,23,1,121.201811,25.060344,18
