SiteId,SiteName,MonitorDate,AQI,SO2SubIndex,COSubIndex,O3SubIndex,PM10SubIndex,NO2SubIndex,O38SubIndex,PM25SubIndex
43,新營,2022-03-17,89,5,3,,44,28,64,89
67,三重,2022-03-17,101,12,16,,47,64,,101
17,桃園,2022-03-17,97,22,6,,50,47,35,97
57,前鎮,2022-03-17,96,12,7,,57,51,,96
9,林口,2022-03-17,83,8,5,,41,50,44,83
54,左營,2022-03-17,97,15,6,,51,42,93,97
33,彰化,2022-03-17,107,10,5,,60,48,39,107
32,西屯,2022-03-17,102,20,5,,54,57,43,102
42,嘉義,2022-03-17,86,8,3,,44,30,58,86
58,小港,2022-03-17,99,18,6,,53,64,42,99
63,花蓮,2022-03-17,27,8,1,,14,13,26,27
61,恆春,2022-03-17,30,2,1,,7,13,30,10
28,豐原,2022-03-17,96,10,5,,43,35,37,96
25,頭份,2022-03-17,91,5,5,,47,28,,91
68,中壢,2022-03-17,98,2,11,,59,55,,98
46,臺南,2022-03-17,108,5,5,,56,38,61,108
24,新竹,2022-03-17,83,2,3,,41,32,40,83
12,中山,2022-03-17,87,10,10,,44,60,41,87
40,朴子,2022-03-17,107,5,3,,53,35,54,107
49,仁武,2022-03-17,103,15,5,,49,51,49,103
7,新莊,2022-03-17,91,12,6,,46,51,48,91
20,平鎮,2022-03-17,95,2,5,,51,43,43,95
47,美濃,2022-03-17,69,5,3,,38,25,50,69
3,萬里,2022-03-17,71,5,3,,30,30,71,61
80,關山,2022-03-17,22,5,1,,12,8,21,22
37,斗六,2022-03-17,92,5,2,,47,28,61,92
26,苗栗,2022-03-17,96,5,5,,49,28,42,96
41,臺西,2022-03-17,76,8,3,,44,28,,76
34,線西,2022-03-17,97,8,3,,56,33,,97
6,板橋,2022-03-17,89,28,7,,46,47,58,89
72,埔里,2022-03-17,106,8,5,,57,25,58,106
56,前金,2022-03-17,100,15,6,,54,43,100,91
85,大城,2022-03-17,82,2,2,,44,22,58,82
14,古亭,2022-03-17,93,5,7,,42,55,64,93
31,忠明,2022-03-17,84,10,6,,48,59,46,84
52,林園,2022-03-17,136,8,5,,60,35,136,94
53,楠梓,2022-03-17,95,8,5,,56,48,93,95
11,士林,2022-03-17,80,8,7,,45,55,44,80
59,屏東,2022-03-17,92,5,5,,51,28,54,92
38,崙背,2022-03-17,85,5,3,,55,25,44,85
1,基隆,2022-03-17,76,8,5,,35,51,50,76
45,安南,2022-03-17,91,5,5,,55,38,64,91
69,竹山,2022-03-17,107,5,2,,49,25,100,107
44,善化,2022-03-17,81,10,2,,36,30,58,81
84,富貴角,2022-03-17,66,2,2,,35,17,58,66
5,土城,2022-03-17,88,15,6,,47,53,51,88
71,復興,2022-03-17,99,10,9,,54,50,,99
48,橋頭,2022-03-17,100,8,3,,57,42,100,98
66,冬山,2022-03-17,37,2,2,,24,28,33,37
78,馬公,2022-03-17,49,0,2,,20,17,49,45
16,大同,2022-03-17,93,12,20,,49,74,,93
22,湖口,2022-03-17,79,2,2,,34,38,45,79
51,大寮,2022-03-17,98,10,5,,53,38,48,98
70,永和,2022-03-17,101,5,14,,49,60,,101
10,淡水,2022-03-17,86,2,5,,42,35,43,86
39,新港,2022-03-17,103,8,3,,52,23,39,103
18,大園,2022-03-17,87,10,3,,38,42,39,87
36,南投,2022-03-17,103,10,5,,58,38,58,103
13,萬華,2022-03-17,89,8,8,,40,55,44,89
50,鳳山,2022-03-17,110,18,10,,51,63,,110
15,松山,2022-03-17,80,28,7,,41,57,54,80
27,三義,2022-03-17,87,5,3,,45,22,49,87
29,沙鹿,2022-03-17,104,25,6,,60,56,36,104
2,汐止,2022-03-17,76,20,7,,38,52,74,76
8,菜寮,2022-03-17,96,5,8,,44,55,44,96
62,臺東,2022-03-17,27,2,2,,16,12,27,21
60,潮州,2022-03-17,86,5,3,,48,18,84,86
64,陽明,2022-03-17,61,2,2,,20,8,61,55
35,二林,2022-03-17,104,5,3,,61,17,47,104
30,大里,2022-03-17,105,12,5,,59,50,44,105
77,金門,2022-03-17,73,10,3,,38,48,30,73
21,龍潭,2022-03-17,94,2,5,,55,38,43,94
75,馬祖,2022-03-17,59,5,2,,28,43,31,59
83,麥寮,2022-03-17,88,12,5,,49,25,,88
23,竹東,2022-03-17,86,2,3,,43,22,44,86
65,宜蘭,2022-03-17,34,0,2,,20,15,34,27
4,新店,2022-03-17,80,5,5,,36,47,80,75
19,觀音,2022-03-17,78,32,2,,39,20,44,78
66,冬山,2022-03-16,34,2,2,,25,25,17,34
40,朴子,2022-03-16,152,5,5,,78,17,87,152
59,屏東,2022-03-16,115,5,3,,54,23,115,98
62,臺東,2022-03-16,31,2,2,,20,10,31,27
12,中山,2022-03-16,44,5,6,,23,42,38,44
29,沙鹿,2022-03-16,131,8,6,,81,50,50,131
46,臺南,2022-03-16,154,2,6,,82,38,67,154
25,頭份,2022-03-16,109,8,5,,63,33,,109
26,苗栗,2022-03-16,109,2,5,,57,30,47,109
18,大園,2022-03-16,96,8,5,,44,48,67,96
84,富貴角,2022-03-16,118,2,2,,28,12,118,52
17,桃園,2022-03-16,93,38,6,,36,52,93,67
78,馬公,2022-03-16,54,0,2,,25,10,44,54
65,宜蘭,2022-03-16,31,2,2,,22,17,31,26
11,士林,2022-03-16,46,5,3,,23,35,46,35
22,湖口,2022-03-16,95,2,3,,44,42,80,95
42,嘉義,2022-03-16,153,12,5,,83,23,87,153
43,新營,2022-03-16,151,2,5,,83,20,93,151
38,崙背,2022-03-16,128,2,6,,89,17,74,128
36,南投,2022-03-16,126,8,5,,68,27,115,126
13,萬華,2022-03-16,50,5,5,,21,50,44,44
70,永和,2022-03-16,48,2,11,,21,48,,44
9,林口,2022-03-16,93,8,3,,28,38,93,49
68,中壢,2022-03-16,96,5,14,,59,64,,96
